	canny	fast	hessian	lbp	shape_index	structure
128	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00694847 -0.04470951 -0.05007365 ..., -0.04788412 -0.04141685
 -0.00503022]"	[  0.   1.   1. ...,  24.   8.  40.]	"[ 0.53556621  0.73036747  0.80940204 ...,  0.79762309  0.7128871
  0.52565361]"	"[ 4.76957863  5.5378476   6.20540324 ...,  6.09027804  5.3893951
  4.60667068]"
129	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00494173 -0.02917239 -0.03119385 ..., -0.02001113 -0.01946115
 -0.00518904]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.54025838  0.74011521  0.80678493 ...,  0.83687724  0.77070929
  0.57184657]"	"[ 1.91873853  2.2199208   2.47417131 ...,  0.74155777  0.68508183
  0.60089262]"
130	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00867152 -0.02687063 -0.03959936 ..., -0.02845096 -0.02168438
 -0.00814826]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.42525785  0.72998913  0.84552409 ...,  0.8947903   0.78405536
  0.61975353]"	"[ 1.67469948  1.8508204   1.89468697 ...,  0.76820019  0.70080882
  0.55041671]"
131	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0053643  -0.03002885 -0.03281401 ..., -0.03608501 -0.03248228
 -0.00602991]"	[ 768.  512.    1. ...,    0.    0.    0.]	"[ 0.54209575  0.73707359  0.81157966 ...,  0.79705333  0.72739803
  0.54267914]"	"[ 2.03115142  2.3474422   2.62081665 ...,  3.20467197  2.83139539
  2.39887407]"
132	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0042412  -0.01903872 -0.01678294 ..., -0.01122169 -0.00869523
  0.00064863]"	[   0.    0.  769. ...,   56.   56.   56.]	"[ 0.55599657  0.75593866  0.77312599 ...,  0.74986957  0.67190631
  0.48725464]"	"[ 0.68974749  0.78262614  0.86083324 ...,  0.49897732  0.42327402
  0.3464017 ]"
133	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00642989 -0.04020365 -0.04453582 ..., -0.04257251 -0.03835087
 -0.00605281]"	[  0.   1.   1. ...,  56.  56.  56.]	"[ 0.53676027  0.7317309   0.80837148 ...,  0.80854284  0.73146886
  0.53622272]"	[ 3.82496175  4.43571771  4.96268451 ...,  4.53558394  4.05289496  3.495616  ]
134	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02437776 -0.02677942  0.001088   ..., -0.02378196 -0.02272142
 -0.0063811 ]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.85098862  0.89002892  0.47714418 ...,  0.88496077  0.79936249
  0.58407403]"	"[ 0.58155424  0.54938248  0.41629528 ...,  0.79874089  0.75957235
  0.6775754 ]"
135	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00050243 -0.00145709  0.00023463 ..., -0.01788834 -0.01748602
 -0.00073113]"	[ 513.  513.  513. ...,   56.   56.   48.]	"[ 0.47967357  0.55417272  0.49174342 ...,  0.68550661  0.65685391
  0.50660875]"	"[ 0.08456031  0.10712804  0.1483147  ...,  2.19234851  1.81299592
  1.5254184 ]"
136	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00684388  0.00064724 -0.00399524 ..., -0.01012114 -0.01792748
 -0.00561187]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.30870279  0.48172598  0.61908501 ...,  0.71609535  0.79913434
  0.58669328]"	"[ 0.1654384   0.23474129  0.30011576 ...,  0.62989638  0.58973667
  0.55233754]"
137	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00258012 -0.02614338 -0.02528573 ..., -0.00928013 -0.00790216
 -0.0023568 ]"	[  0.   0.   0. ...,  48.  32.   0.]	"[ 0.52647835  0.78916888  0.82388358 ...,  0.90405038  0.81368752
  0.59900196]"	"[ 1.12478074  1.27582974  1.30130757 ...,  0.09405324  0.0870193
  0.07631183]"
138	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.01988887  0.00471704 -0.0183452  ..., -0.0081569  -0.00839849
 -0.00288122]"	[ 769.  769.  513. ...,   32.   32.   32.]	"[ 0.19935603  0.42854914  0.76629016 ...,  0.80313025  0.76648122
  0.5947659 ]"	"[ 0.63412611  0.98327074  1.19876536 ...,  0.14855229  0.13245074
  0.11650571]"
139	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0065385  -0.04064506 -0.04518713 ..., -0.02446881 -0.01767861
 -0.0020813 ]"	[ 256.  256.    0. ...,    0.    0.    0.]	"[ 0.53718801  0.73304903  0.81084076 ...,  0.86708764  0.73575879
  0.52870113]"	"[ 3.8715353   4.49004391  5.02143319 ...,  0.87970588  0.78376627
  0.66863203]"
140	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00494762 -0.02582791 -0.0278073  ..., -0.01904654 -0.01739941
 -0.00267181]"	[  0.   0.   0. ...,   0.  16.  16.]	"[ 0.5600385   0.80872569  0.86973539 ...,  0.77326931  0.7160966
  0.53334114]"	"[ 0.93618959  1.04247015  1.08458218 ...,  1.10881896  0.96915908
  0.81229192]"
141	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00130378 -0.0054813  -0.00550314 ..., -0.03582893 -0.03606531
 -0.00869359]"	[ 0.  1.  1. ...,  0.  0.  0.]	"[ 0.55923281  0.75009057  0.80473335 ...,  0.82681812  0.76478023
  0.56230636]"	"[ 0.06141093  0.07037289  0.07775359 ...,  2.93850531  2.70716748
  2.42637733]"
142	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -9.00958789e-05  -1.08852070e-02  -1.27900910e-02 ...,  -2.24396185e-02
  -1.66870789e-02  -7.88037038e-04]"	[ 769.  769.  769. ...,   56.   56.   56.]	"[ 0.50157851  0.69106697  0.76170338 ...,  0.81095258  0.69994317
  0.50968408]"	"[ 0.41137071  0.49096595  0.56980386 ...,  1.09038463  0.94881484
  0.79426511]"
143	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00029141 -0.00368636 -0.00402068 ..., -0.02658842 -0.02320111
 -0.00242672]"	[ 513.  513.  769. ...,   56.   56.   56.]	"[ 0.51671394  0.71904543  0.80163434 ...,  0.79441919  0.71638658
  0.52249198]"	"[ 0.03816725  0.04338091  0.04827937 ...,  1.93942059  1.71265131
  1.45714775]"
144	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00654063 -0.02371825 -0.02398106 ..., -0.00756172 -0.00832315
 -0.00182296]"	[  0.   0.   0. ...,   8.   8.  24.]	"[ 0.58277939  0.79685666  0.85051245 ...,  0.79269155  0.77021925
  0.55692843]"	"[ 0.76399796  0.8646156   0.92665967 ...,  0.17684231  0.1611376
  0.14250897]"
145	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01575824 -0.0329423  -0.02087233 ...,  0.01720854  0.01164891
  0.00602241]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.68584099  0.8896031   0.790703   ...,  0.34369759  0.34230891
  0.38718146]"	"[ 1.04409338  1.08976037  1.11065056 ...,  1.60550391  0.95899109
  0.63475517]"
146	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00287982 -0.01529372 -0.01667317 ..., -0.02727888 -0.02395811
 -0.00366719]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.54432961  0.7368198   0.80991992 ...,  0.80581095  0.73317731
  0.53579692]"	[ 0.53149671  0.61419115  0.68597428 ...,  1.64951662  1.47277807  1.249657  ]
147	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0051211  -0.03078088 -0.03425578 ..., -0.03173872 -0.02886992
 -0.00502559]"	[  0.   0.   0. ...,   0.  32.  16.]	"[ 0.53834112  0.72926342  0.8033398  ...,  0.81134169  0.73634199
  0.54088658]"	"[ 2.16740198  2.53087061  2.84231729 ...,  2.4444176   2.1891535
  1.89148172]"
148	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00021392 -0.00092736 -0.00030285 ..., -0.00179161 -0.00176996
 -0.00033723]"	[ 768.  769.  769. ...,   48.   48.   48.]	"[ 0.55047361  0.76516337  0.6345531  ...,  0.78032488  0.72770192
  0.54301084]"	"[ 0.0016036   0.00192097  0.00184077 ...,  0.00955912  0.00851464
  0.00731444]"
149	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.01046384 -0.00330485 -0.00288957 ...,  0.00188846 -0.0189185
 -0.00929475]"	[ 769.  769.  257. ...,   48.   16.   16.]	"[ 0.38595159  0.53563836  0.53223769 ...,  0.47526912  0.71059002
  0.59689903]"	"[ 1.13158044  1.52896092  2.01315431 ...,  1.6106588   1.36253352
  1.18803014]"
150	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01007972 -0.04248629 -0.04535783 ..., -0.01871019  0.00470008
  0.02827609]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.55925957  0.75419205  0.82871084 ...,  0.72738911  0.45396276
  0.2371631 ]"	"[ 3.62039735  4.1994548   4.59613495 ...,  1.77399198  1.59527568
  1.3783587 ]"
151	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00118329 -0.01556664 -0.0189496  ..., -0.00755998 -0.00656967
  0.0004499 ]"	[ 256.  256.  257. ...,   56.   56.   56.]	"[ 0.51562712  0.70988322  0.81396289 ...,  0.79846331  0.69687774
  0.48750532]"	"[ 0.69497031  0.79636631  0.89432312 ...,  0.19380275  0.17630751
  0.15888208]"
152	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.0010378  -0.00247006 -0.00333302 ..., -0.00595002 -0.00481333
 -0.00083188]"	[ 769.  769.  769. ...,   16.   16.   16.]	"[ 0.4596654   0.59488915  0.62814863 ...,  0.79795584  0.71190796
  0.53821998]"	"[ 0.10796885  0.13993737  0.18180657 ...,  0.07172042  0.06280291
  0.05129809]"
153	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0045713  -0.03172941 -0.0354968  ..., -0.01240452 -0.01264714
 -0.00330996]"	[ 256.  256.  256. ...,    0.    0.    0.]	"[ 0.53261287  0.72910712  0.80764463 ...,  0.7897625   0.74879415
  0.56498204]"	"[ 2.47530207  2.86912774  3.21627088 ...,  0.41886633  0.37750471
  0.32366588]"
154	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00720371 -0.04500661 -0.05004674 ...,  0.00298345 -0.00022186
  0.00429488]"	[  0.   0.   0. ...,  56.  48.  56.]	"[ 0.53685304  0.73204651  0.80956988 ...,  0.45195947  0.50383283
  0.42145599]"	"[ 4.78307944  5.5478969   6.20743468 ...,  0.79401876  0.5612496
  0.42721554]"
155	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00449752 -0.02811494 -0.03097125 ..., -0.04029525 -0.03638319
 -0.00608401]"	[ 257.  257.  256. ...,    0.   32.   32.]	"[ 0.53722791  0.73486893  0.80931585 ...,  0.80891491  0.73345961
  0.53885379]"	"[ 1.84278877  2.13879515  2.39135196 ...,  4.0132418   3.58087266
  3.08791888]"
156	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0021822  -0.0130381  -0.01337869 ..., -0.03705325 -0.03361968
 -0.00508676]"	[ 769.  769.  769. ...,    0.    0.    0.]	[ 0.53835096  0.73250621  0.78944701 ...,  0.7986373   0.7277802   0.5342525 ]	"[ 0.40545982  0.4697311   0.52848235 ...,  3.64298985  3.23608443
  2.76940776]"
157	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[  8.15043495e-04  -6.77238385e-03  -9.83887713e-03 ...,  -1.21830166e-03
  -9.68060667e-04  -3.60332384e-05]"	[ 769.  768.  256. ...,   56.   56.   56.]	"[ 0.47721912  0.69570263  0.85067219 ...,  0.8859746   0.75411971
  0.50971749]"	"[ 0.15673302  0.18501048  0.20349846 ...,  0.00231866  0.00213051
  0.00195278]"
158	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0055313  -0.04282566 -0.04860043 ..., -0.01492719 -0.01173178
 -0.00195167]"	[ 769.  768.  768. ...,    0.    0.    8.]	"[ 0.52896285  0.72703866  0.80962359 ...,  0.85144373  0.73954784
  0.54059979]"	"[ 4.54672601  5.29252396  5.92210335 ...,  0.38506782  0.34350502
  0.29423154]"
159	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00396386 -0.02988236 -0.03310269 ..., -0.03804954 -0.03425103
 -0.00544827]"	[ 512.  769.  257. ...,   56.   56.   56.]	"[ 0.52782649  0.71303681  0.77915206 ...,  0.80906202  0.73176278
  0.5365658 ]"	"[ 2.60669718  3.07670504  3.48957294 ...,  3.61055011  3.22620473
  2.78137343]"
160	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01007853 -0.04350813 -0.0467038  ..., -0.00631706 -0.00529008
 -0.00104909]"	[  0.   0.   0. ...,   8.  24.  24.]	"[ 0.56215813  0.76929695  0.85081998 ...,  0.77362067  0.70076898
  0.54172691]"	"[ 3.25209721  3.72597419  4.03931764 ...,  0.12259326  0.10417626
  0.08482433]"
161	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00302371 -0.0220635  -0.02496427 ..., -0.04033473 -0.01903813
  0.01238164]"	[ 769.  769.  769. ...,   16.   24.   56.]	"[ 0.53074245  0.72610259  0.80748803 ...,  0.82221227  0.62938849
  0.41472059]"	"[ 1.20714522  1.40189887  1.57363591 ...,  3.10093799  2.68867242
  2.38020821]"
162	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02278125 -0.05693594 -0.03915228 ..., -0.05236815 -0.04672855
 -0.0078971 ]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.66635795  0.88870061  0.75652664 ...,  0.82682497  0.74090363
  0.54046191]"	[ 2.69856495  3.03590838  3.25392085 ...,  6.04175233  5.45271343  4.717381  ]
163	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00253314 -0.01089927 -0.01311821 ...,  0.00230025 -0.00336248
 -0.00345158]"	[  0.   0.   0. ...,  56.  56.  40.]	"[ 0.55977839  0.75281374  0.86561366 ...,  0.17272     0.79989558
  0.78412678]"	"[ 0.23217782  0.26716557  0.29750199 ...,  0.01013253  0.01217492
  0.01119642]"
164	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0003761  -0.00203594 -0.00170033 ..., -0.00507586 -0.00674118
 -0.00312421]"	[   1.  769.  769. ...,    0.    0.    0.]	"[ 0.53532535  0.71136538  0.76672056 ...,  0.74142691  0.77422426
  0.63094316]"	"[ 0.01213014  0.01326898  0.0142282  ...,  0.09178351  0.0844952
  0.06867461]"
165	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00105093 -0.01033171  0.00048078 ..., -0.03234642 -0.03106688
 -0.0046782 ]"	[ 257.    0.  256. ...,    8.   24.   24.]	"[ 0.4832892   0.70110029  0.48732627 ...,  0.83493826  0.73769757
  0.53407147]"	"[ 0.43852529  0.47050757  0.50241297 ...,  2.78350771  2.57812209
  2.25794011]"
166	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00698718 -0.01244398 -0.00836998 ..., -0.00922735 -0.00989613
 -0.00156912]"	[  0.   0.   0. ...,   0.   0.  16.]	"[ 0.7368876   0.88619454  0.86658298 ...,  0.83535688  0.81978861
  0.54770602]"	"[ 0.0868911   0.0904441   0.09262741 ...,  0.16066086  0.15467399
  0.14597349]"
167	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00194023 -0.0111156  -0.01290689 ..., -0.00776831 -0.00686573
 -0.00093297]"	[  0.   0.   0. ...,  24.  24.  24.]	"[ 0.54370754  0.75132635  0.84881973 ...,  0.7441513   0.68095338
  0.52405693]"	[ 0.24465858  0.27812349  0.30779961 ...,  0.24282932  0.21181655  0.175021  ]
168	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00083602 -0.01206868 -0.01257078 ..., -0.01238597 -0.01129168
 -0.0019724 ]"	[ 769.  769.  769. ...,    8.    8.    8.]	"[ 0.51282715  0.68404713  0.72292322 ...,  0.81893649  0.74506967
  0.54250929]"	"[ 0.52156097  0.62124576  0.72939697 ...,  0.36332084  0.32567945
  0.28373373]"
169	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00863755 -0.04645836 -0.05014152 ..., -0.01161718 -0.01725053
 -0.00950034]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.54465364  0.74236714  0.81316326 ...,  0.82625171  0.86827226
  0.70311249]"	"[ 4.72112961  5.44530066  6.04409176 ...,  0.28011246  0.27602887
  0.26537154]"
170	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.0045089  -0.00093001 -0.00451592 ..., -0.01989299 -0.01436567
 -0.0003231 ]"	[ 256.  256.  256. ...,   24.   24.   56.]	"[ 0.43677508  0.51271271  0.55901837 ...,  0.87018116  0.71739002
  0.50484862]"	"[ 0.79685957  1.06576785  1.42489347 ...,  0.65190526  0.58709843
  0.51502472]"
171	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00719328 -0.04495567 -0.04981392 ..., -0.04238066 -0.03784395
 -0.00546208]"	[ 769.  769.  256. ...,   56.   56.   56.]	"[ 0.53680222  0.73183853  0.80827132 ...,  0.8064333   0.72815168
  0.53261123]"	"[ 4.78310667  5.54827107  6.20970491 ...,  4.57230341  4.07596799
  3.50737515]"
172	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00783982 -0.03163483 -0.03448085 ..., -0.03574807 -0.02923604
 -0.00465262]"	[ 0.  0.  0. ...,  0.  8.  8.]	"[ 0.56480866  0.75964331  0.83707414 ...,  0.73102236  0.67420312
  0.52959891]"	"[ 1.74412785  2.05613334  2.25640348 ...,  4.64999627  3.89165184
  3.09492881]"
173	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00384073 -0.03156019 -0.03562227 ...,  0.01530894  0.00835002
  0.00324376]"	[ 769.  769.  769. ...,   56.   56.   56.]	"[ 0.52617166  0.71708714  0.7870162  ...,  0.24895253  0.27577654
  0.37449292]"	"[ 2.77863585  3.25703552  3.70681689 ...,  0.5302413   0.31081029
  0.21351924]"
174	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00867214 -0.02502721 -0.02225551 ..., -0.017155   -0.01369766 -0.003607  ]	[  0.   0.   0. ...,   8.   8.  40.]	[ 0.60117109  0.78834675  0.80349055 ...,  0.96476751  0.775408    0.57145505]	"[ 0.89703666  1.03707744  1.1400181  ...,  0.34054717  0.32059604
  0.28608179]"
175	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00678632 -0.03602773 -0.03923619 ..., -0.02813908 -0.03663597
 -0.0103513 ]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.54480236  0.73876922  0.81138538 ...,  0.81909276  0.84075941
  0.5920363 ]"	"[ 2.89891764  3.35160981  3.74472084 ...,  1.59817545  1.55146387
  1.51647272]"
176	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00499123 -0.02984238 -0.0328999  ..., -0.04888554 -0.04895697
 -0.01223108]"	[   0.  256.    0. ...,    0.    0.    0.]	"[ 0.53873606  0.73351651  0.80873312 ...,  0.79391854  0.75496273
  0.56457452]"	"[ 2.08375786  2.41794092  2.70328708 ...,  5.59111304  5.02922753
  4.34878705]"
177	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00748208 -0.03567461 -0.04119818 ..., -0.03045892 -0.02694105
 -0.00443745]"	[  0.   0.   0. ...,   8.  24.  24.]	"[ 0.562878    0.80288154  0.88781012 ...,  0.81989813  0.73231424
  0.5377547 ]"	"[ 1.72783703  1.91625948  2.02348742 ...,  2.1874314   1.97005644
  1.70562546]"
178	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02564934 -0.05168398 -0.03148745 ..., -0.00967963 -0.00853628
 -0.00192353]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.7400211   0.95402942  0.77596895 ...,  0.87760855  0.7765848
  0.56203053]"	[ 1.39003245  1.57561884  1.59397934 ...,  0.14715124  0.13668079  0.121383  ]
179	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00524677 -0.02754038 -0.02987332 ..., -0.02259621 -0.01964872
 -0.00203256]"	[ 768.  769.  768. ...,   56.   56.   56.]	"[ 0.54559863  0.74036451  0.81460838 ...,  0.79969933  0.71628165
  0.5219686 ]"	"[ 1.67856626  1.94388603  2.16482003 ...,  1.43723244  1.27247788
  1.0961463 ]"
180	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00425658 -0.04025541 -0.04924668 ..., -0.00852371 -0.01356182
 -0.0063737 ]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.52258307  0.71362118  0.80957411 ...,  0.76379648  0.89324263
  0.69556198]"	"[ 4.34663165  5.13482166  5.83337464 ...,  0.14660479  0.14241112
  0.13715048]"
181	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -1.34621650e-03  -9.12393303e-03  -1.04488867e-02 ...,  -2.27945638e-02
  -1.77153938e-02  -3.57945767e-05]"	[ 769.  769.  769. ...,    8.    8.   56.]	"[ 0.53304532  0.7215881   0.79437589 ...,  0.79961963  0.69254159
  0.50038764]"	"[ 0.21612897  0.25840291  0.293572   ...,  1.40113244  1.22010549
  1.06941085]"
182	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00307243 -0.00932786 -0.0097409  ..., -0.02482812 -0.03190713
 -0.0091083 ]"	[ 513.  769.  769. ...,   56.   56.    8.]	[ 0.58984598  0.7590013   0.82076271 ...,  0.73748807  0.73447651  0.563841  ]	"[ 0.15894695  0.17221685  0.19832412 ...,  2.55547767  2.35620072
  2.06841156]"
183	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00800567 -0.03696936 -0.04104979 ..., -0.02464606 -0.02049282
 -0.00189076]"	[ 513.  513.    1. ...,    0.    0.   56.]	"[ 0.55383823  0.74403792  0.81154082 ...,  0.8185054   0.72192431
  0.52038351]"	"[ 2.76801079  3.22387784  3.61188044 ...,  1.41961831  1.25839321
  1.09283966]"
184	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00099993 -0.0056953  -0.00572866 ..., -0.00868411 -0.01125184
 -0.00167029]"	[   1.  257.  257. ...,    8.    8.    8.]	"[ 0.53363205  0.68546621  0.71294654 ...,  0.77968539  0.78665112
  0.53739912]"	"[ 0.10456903  0.12734069  0.15046151 ...,  0.25425898  0.25234602
  0.23636473]"
185	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00634697 -0.03094026 -0.03280824 ..., -0.00532555 -0.00473049
 -0.00059685]"	[  0.   0.   0. ...,  56.  56.  40.]	"[ 0.54981499  0.74367422  0.80805197 ...,  0.8276086   0.73228089
  0.52822688]"	"[ 2.03982942  2.3755268   2.64498262 ...,  0.07055205  0.0641474
  0.05600286]"
186	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00182759 -0.01348077 -0.01535099 ..., -0.01627408 -0.01543642
 -0.00338246]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.52993992  0.721661    0.80104778 ...,  0.82701487  0.76274309
  0.55763396]"	"[ 0.46862845  0.54547247  0.61674377 ...,  0.53877665  0.49108824
  0.42782429]"
187	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00449502 -0.01676278 -0.01811405 ..., -0.00441182 -0.00483198
 -0.00129429]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.57508428  0.77882132  0.85475296 ...,  0.75715785  0.73751748
  0.56442057]"	"[ 0.45838899  0.52949202  0.57210477 ...,  0.07099225  0.06241288
  0.05235807]"
188	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00076191 -0.01046445 -0.01371051 ..., -0.00838225 -0.01804482
 -0.01072356]"	[ 512.  768.  768. ...,    0.    0.    0.]	"[ 0.5126631   0.67010432  0.77126243 ...,  0.76135547  0.9617999
  0.79303901]"	"[ 0.40397619  0.49260451  0.56913899 ...,  0.16213783  0.17322929
  0.16637088]"
189	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00517979 -0.03432845 -0.03828833 ..., -0.02138926 -0.01909764
 -0.00248669]"	[ 768.  768.  768. ...,   24.    8.   24.]	"[ 0.53457583  0.73154908  0.81053764 ...,  0.82189829  0.73260967
  0.52946339]"	"[ 2.81841625  3.26281795  3.65012548 ...,  1.10595061  0.99852871
  0.86765536]"
190	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00069832 -0.00202041 -0.00202337 ..., -0.02628874 -0.01759993
  0.00216032]"	[ 769.  769.  769. ...,    0.    0.    8.]	"[ 0.45841448  0.6287239   0.67344397 ...,  0.86283586  0.69380844
  0.47662257]"	"[ 0.03430598  0.04262985  0.04998956 ...,  1.20625611  1.08102022
  0.95521902]"
191	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00023947 -0.00311224 -0.00258187 ..., -0.02647808 -0.03018668
 -0.00695566]"	[ 769.  769.  769. ...,   48.   48.   48.]	"[ 0.51972842  0.76818612  0.72677583 ...,  0.76726841  0.74179852
  0.55418328]"	"[ 0.02873804  0.0335753   0.03871121 ...,  2.54780584  2.3035025
  2.02501463]"
192	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00214607 -0.01040318 -0.01055734 ..., -0.00825642 -0.00906994
 -0.00284574]"	[ 0.  0.  0. ...,  8.  8.  0.]	"[ 0.55223539  0.75669931  0.80871709 ...,  0.84223839  0.79884716
  0.58852045]"	"[ 0.22100637  0.25482976  0.28158852 ...,  0.17200771  0.16380643
  0.14146638]"
