	canny	fast	hessian	lbp	shape_index	structure
28	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[ 0.00075023 -0.00383141 -0.00623501 ..., -0.00488157 -0.004214    0.00097805]	[ 769.  769.  768. ...,   32.   32.   32.]	"[ 0.46885536  0.66458715  0.81815491 ...,  0.81307652  0.67618194
  0.46390373]"	[ 0.07551301  0.09014662  0.10404727 ...,  0.10115431  0.092087    0.08294163]
29	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00639264 -0.04199692 -0.04686502 ..., -0.00360628 -0.00382487
 -0.00091903]"	[ 513.  513.  768. ...,    0.    0.    0.]	[ 0.53447436  0.72755989  0.80590424 ...,  0.8093635   0.76925399  0.563845  ]	"[ 4.38178952  5.07736084  5.71528519 ...,  0.02934408  0.02665611
  0.02375988]"
30	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00486731 -0.03444777 -0.04030157 ..., -0.02634907 -0.0262194
 -0.00599172]"	[ 1.  0.  0. ...,  0.  8.  0.]	"[ 0.53230516  0.72981628  0.82976027 ...,  0.82430888  0.76423056
  0.56000717]"	"[ 2.77163919  3.17514342  3.52700835 ...,  1.55062706  1.41768329
  1.23686668]"
31	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00386366 -0.01443964 -0.0155342  ...,  0.00021188  0.00055265
  0.00090286]"	[  0.   0.   0. ...,   8.  40.   8.]	"[ 0.58913259  0.8295941   0.85390174 ...,  0.09976481  0.12790916
  0.12546429]"	"[ 0.26587488  0.29612933  0.31658493 ...,  0.00095326  0.00086909
  0.00061465]"
32	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00851403 -0.00080069 -0.00661363 ..., -0.01407633 -0.01607269
 -0.00467745]"	[ 769.  769.  769. ...,   48.   48.   32.]	"[ 0.33834689  0.51488568  0.63227592 ...,  0.75358364  0.74384093
  0.57023184]"	"[ 0.33583231  0.43791162  0.56351728 ...,  0.74550014  0.66626472
  0.56515003]"
33	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00077644 -0.00358419 -0.00306421 ..., -0.01746083 -0.01689429
 -0.0017777 ]"	[ 257.  769.  769. ...,   56.   56.   56.]	"[ 0.54960872  0.7452471   0.78706141 ...,  0.76524923  0.71324059
  0.52215014]"	"[ 0.02989725  0.03413382  0.03618228 ...,  1.08380098  0.95425206
  0.81398219]"
34	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00427242 -0.02894142 -0.03264208 ..., -0.0135824  -0.01195636
 -0.00088679]"	[ 769.  769.  769. ...,   40.   56.   56.]	"[ 0.5334761   0.72848171  0.80841239 ...,  0.79376237  0.71647361
  0.51573683]"	"[ 2.040967    2.37484286  2.66414016 ...,  0.54190896  0.47795852
  0.41047125]"
35	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00174229 -0.00099346 -0.00265264 ..., -0.02315801 -0.02284349
 -0.00779147]"	[ 769.  769.  769. ...,   32.    0.    0.]	"[ 0.35450424  0.5991155   0.86332232 ...,  0.75930756  0.72519968
  0.58228254]"	"[ 0.01644304  0.01987977  0.02176384 ...,  1.46522744  1.26863867
  1.03666613]"
36	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00704609 -0.0262216  -0.02791091 ..., -0.01632345 -0.01582534
 -0.00377225]"	[  0.   0.   0. ...,  56.  48.  16.]	"[ 0.57395759  0.77085975  0.83688512 ...,  0.80930833  0.75377223
  0.56050532]"	"[ 1.12808496  1.2787644   1.40447548 ...,  0.63442995  0.57092709
  0.49489184]"
37	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00487506 -0.03177796 -0.03569439 ..., -0.01396426 -0.01102406
 -0.00015289]"	[ 769.    0.    0. ...,   32.   32.   32.]	"[ 0.53515717  0.73082731  0.81110274 ...,  0.7680803   0.68908241
  0.50264466]"	"[ 2.40085098  2.78350966  3.11636628 ...,  0.61696356  0.52982121
  0.43848081]"
38	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00333341  0.00373352  0.00502802 ..., -0.04307649 -0.03876856
 -0.00619733]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.14789734  0.17363013  0.13841897 ...,  0.81006054  0.73261196
  0.53687877]"	"[ 0.0067097   0.01343874  0.02463482 ...,  4.60934261  4.11976418
  3.55661943]"
39	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00648221 -0.03185843 -0.03380019 ..., -0.04852097 -0.0430592
 -0.00565567]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.5506448   0.75033703  0.81812095 ...,  0.80556966  0.72780313
  0.52964267]"	"[ 2.05625041  2.37610531  2.62869689 ...,  6.01409501  5.34594768
  4.59035148]"
40	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00645704 -0.04107646 -0.04748018 ..., -0.01685086 -0.01869737
 -0.00260524]"	[ 768.  768.  513. ...,   56.    8.    8.]	"[ 0.53635645  0.73246236  0.82056446 ...,  0.85799001  0.73282978
  0.52718388]"	"[ 3.94130043  4.58833631  5.12422076 ...,  1.11585542  1.08201483
  0.92301945]"
41	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00599378 -0.04377272 -0.04985744 ..., -0.01228153 -0.01181022
 -0.00249984]"	[   0.  256.    0. ...,   32.    0.    0.]	"[ 0.53103196  0.72924408  0.81348846 ...,  0.80027001  0.74173253
  0.55111545]"	[ 4.66972561  5.41693122  6.05933278 ...,  0.38147146  0.341664    0.29332186]
42	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00037564 -0.0096467  -0.01321499 ..., -0.02201471 -0.02427358
 -0.00717002]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.49358895  0.66326452  0.7664373  ...,  0.84011903  0.80497718
  0.58879608]"	"[ 0.40577709  0.50260863  0.58869371 ...,  0.94766388  0.90273404
  0.79986235]"
43	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00898395 -0.04711183 -0.05164762 ..., -0.04981392 -0.04495567
 -0.00719328]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.54660133  0.74592794  0.82064514 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.71854132  5.45005372  6.05636911 ...,  6.20970491  5.54827107
  4.78310667]"
44	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00225667 -0.01189701 -0.01280585 ..., -0.00588958 -0.0045201
 -0.00055613]"	[  0.   1.   0. ...,  48.  48.  40.]	"[ 0.54418565  0.73288874  0.79752216 ...,  0.88079338  0.73510594
  0.52846468]"	"[ 0.32095522  0.37283243  0.41848679 ...,  0.05668814  0.05164996
  0.04443887]"
45	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00523077 -0.03007083 -0.03244661 ..., -0.01993296 -0.02693991
 -0.01128249]"	[   0.    0.  256. ...,    0.    0.    0.]	"[ 0.54069589  0.73624866  0.80555869 ...,  0.80056217  0.87341999
  0.66075515]"	"[ 2.09296228  2.42702857  2.70811239 ...,  0.79907549  0.75529735
  0.67324965]"
46	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00147101 -0.0055387  -0.0053303  ..., -0.01076778 -0.00771039
  0.00109719]"	[  0.   0.   0. ...,  32.  32.  32.]	"[ 0.56853982  0.75488116  0.78718488 ...,  0.88881984  0.72425485
  0.47059033]"	"[ 0.055986    0.06604315  0.07282389 ...,  0.21062703  0.19619664
  0.18451157]"
47	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00028552 -0.00225148 -0.00239055 ..., -0.02520747 -0.02259192
 -0.00335984]"	[ 513.  513.  513. ...,   56.   56.   56.]	"[ 0.52736957  0.71163461  0.75648996 ...,  0.80335408  0.72604978
  0.53331671]"	"[ 0.01396277  0.0156625   0.01850946 ...,  1.65355396  1.47252923
  1.26713194]"
